Id numeric,Result text,Result value,Sampled date,Test status,Description,Component name,Sample name
"    231935","<15                                                                                                                                                                                                                                       ","     0.739","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Conductividad a 20 ºC                   ","agua blanco                   "
"    231935","<0.22                                                                                                                                                                                                                                     ","     0.080","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Turbidez                                ","agua blanco                   "
"    231935","05/02/2024                                                                                                                                                                                                                                ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              "," Fecha comienzo de los ensayos          ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.070","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Suma Trihalometanos                     ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Bromoformo                              ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.066","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Bromodiclorometano                      ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Cloroformo                              ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Dibromoclorometano                      ","agua blanco                   "
"    231935","<0.15                                                                                                                                                                                                                                     ","     0.054","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Amonio                                  ","agua blanco                   "
"    231935","<50.0                                                                                                                                                                                                                                     ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Sodio                                   ","agua blanco                   "
"    231935","<1.0                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Sulfatos                                ","agua blanco                   "
"    231935","<1.00                                                                                                                                                                                                                                     ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Nitratos                                ","agua blanco                   "
"    231935","<0.15                                                                                                                                                                                                                                     ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Nitritos                                ","agua blanco                   "
"    231935","<1.00                                                                                                                                                                                                                                     ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Cloruros                                ","agua blanco                   "
"    231935","<0.3                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Clorito                                 ","agua blanco                   "
"    231935","<0.3                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Clorato                                 ","agua blanco                   "
"    231935","<2.5                                                                                                                                                                                                                                      ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Bromato                                 ","agua blanco                   "
"    231935","8/2/24                                                                                                                                                                                                                                    ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              "," Fecha fin de los ensayos               ","agua blanco                   "
"    231935","0                                                                                                                                                                                                                                         ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","P1                                      ","agua blanco                   "
"    231935","0                                                                                                                                                                                                                                         ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","P2                                      ","agua blanco                   "
"    231935","0                                                                                                                                                                                                                                         ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","d                                       ","agua blanco                   "
"    231935","0                                                                                                                                                                                                                                         ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Recuento                                ","agua blanco                   "
"    231935","0.0                                                                                                                                                                                                                                       ","     0.000","05-FEB-2024 08:50:05","A","blanco envase 16-11-23                                                                              ","Microorganismos cultivables a 22 ºC     ","agua blanco                   "
